Angle,Cp,p
-1.668885e+02,-2.435533e-01,5.679435e-02
-1.676250e+02,-2.456678e-01,5.573709e-02
-1.683615e+02,-2.443976e-01,5.637219e-02
-7.688854e+01,1.264226e-01,2.417823e-01
-7.762500e+01,1.123328e-01,2.347374e-01
-7.836146e+01,1.004990e-01,2.288205e-01
1.350000e+01,1.570146e+00,9.636438e-01
1.311146e+01,1.575717e+00,9.664297e-01
1.237500e+01,1.582984e+00,9.700631e-01
1.163854e+01,1.591199e+00,9.741704e-01
1.260000e+02,-2.353092e-01,6.091638e-02
1.256115e+02,-2.353538e-01,6.089408e-02
1.248750e+02,-2.354652e-01,6.083838e-02
1.241385e+02,-2.356159e-01,6.076303e-02
-1.530000e+02,-2.357645e-01,6.068876e-02
-1.533885e+02,-2.357455e-01,6.069823e-02
-1.541250e+02,-2.357208e-01,6.071059e-02
-1.548615e+02,-2.357187e-01,6.071164e-02
-6.300000e+01,4.225497e-01,3.898458e-01
-6.338854e+01,4.191317e-01,3.881368e-01
-6.412500e+01,4.034610e-01,3.803015e-01
-6.486146e+01,3.886485e-01,3.728952e-01
2.700000e+01,1.336055e+00,8.465985e-01
2.661146e+01,1.344911e+00,8.510264e-01
2.587500e+01,1.359343e+00,8.582427e-01
2.513854e+01,1.375727e+00,8.664346e-01
-1.395000e+02,-2.338867e-01,6.162763e-02
-1.398885e+02,-2.338269e-01,6.165753e-02
-1.406250e+02,-2.336578e-01,6.174212e-02
-1.413615e+02,-2.334380e-01,6.185200e-02
4.011146e+01,1.015993e+00,6.865674e-01
3.937500e+01,1.033907e+00,6.955244e-01
3.863854e+01,1.054576e+00,7.058591e-01
3.825000e+01,1.064780e+00,7.109609e-01
9.450000e+01,-1.298541e-01,1.136439e-01
9.411146e+01,-1.228396e-01,1.171512e-01
9.337500e+01,-1.167830e-01,1.201795e-01
9.263854e+01,-1.079850e-01,1.245785e-01
1.188615e+02,-2.382017e-01,5.947016e-02
1.181250e+02,-2.389331e-01,5.910443e-02
1.173885e+02,-2.399463e-01,5.859785e-02
1.170000e+02,-2.407438e-01,5.819909e-02
-6.113854e+01,4.713084e-01,4.142252e-01
-6.187500e+01,4.513458e-01,4.042439e-01
-6.261146e+01,4.348272e-01,3.959846e-01
-1.170000e+02,-2.369628e-01,6.008961e-02
-1.173885e+02,-2.369257e-01,6.010815e-02
-1.181250e+02,-2.373989e-01,5.987153e-02
-1.188615e+02,-2.380865e-01,5.952776e-02
6.300000e+01,4.266370e-01,3.918895e-01
6.261146e+01,4.380552e-01,3.975986e-01
6.187500e+01,4.543396e-01,4.057408e-01
6.113854e+01,4.728761e-01,4.150091e-01
6.075000e+01,4.783300e-01,4.177360e-01
-9.450000e+01,-1.307732e-01,1.131844e-01
-9.488854e+01,-1.355440e-01,1.107990e-01
-9.562500e+01,-1.427598e-01,1.071911e-01
-9.636146e+01,-1.486999e-01,1.042210e-01
8.550000e+01,-1.582676e-02,1.706576e-01
8.511146e+01,-8.462934e-03,1.743395e-01
8.437500e+01,9.872629e-04,1.790646e-01
8.363854e+01,1.308099e-02,1.851115e-01
5.850000e+01,5.334423e-01,4.452921e-01
5.811146e+01,5.454691e-01,4.513056e-01
5.737500e+01,5.611260e-01,4.591340e-01
5.663854e+01,5.817277e-01,4.694348e-01
5.625000e+01,5.900228e-01,4.735824e-01
-1.575000e+01,1.526919e+00,9.420305e-01
-1.613854e+01,1.526945e+00,9.420436e-01
-1.687500e+01,1.517564e+00,9.373530e-01
-1.761146e+01,1.506722e+00,9.319318e-01
7.425000e+01,1.779894e-01,2.675657e-01
7.386146e+01,1.876006e-01,2.723713e-01
7.312500e+01,2.006127e-01,2.788773e-01
7.238854e+01,2.169200e-01,2.870310e-01
7.200000e+01,2.223257e-01,2.897338e-01
5.586146e+01,6.027941e-01,4.799681e-01
5.512500e+01,6.191028e-01,4.881224e-01
5.438854e+01,6.400763e-01,4.986091e-01
5.400000e+01,6.513793e-01,5.042607e-01
-3.375000e+01,1.181652e+00,7.693968e-01
-3.413854e+01,1.173451e+00,7.652965e-01
-3.487500e+01,1.155248e+00,7.561951e-01
-3.561146e+01,1.137142e+00,7.471421e-01
-3.600000e+01,1.127165e+00,7.421535e-01
1.687500e+02,-2.487495e-01,5.419627e-02
1.683615e+02,-2.470364e-01,5.505282e-02
1.676250e+02,-2.459077e-01,5.561715e-02
1.668885e+02,-2.448532e-01,5.614438e-02
1.665000e+02,-2.466308e-01,5.525562e-02
-1.125000e+01,1.582196e+00,9.696689e-01
-1.163854e+01,1.583308e+00,9.702251e-01
-1.237500e+01,1.575279e+00,9.662103e-01
-1.311146e+01,1.567133e+00,9.621373e-01
-1.350000e+01,1.562562e+00,9.598522e-01
-1.102500e+02,-2.576871e-01,4.972745e-02
-1.106385e+02,-2.592494e-01,4.894632e-02
-1.113750e+02,-2.585071e-01,4.931746e-02
-1.121115e+02,-2.580891e-01,4.952644e-02
-1.125000e+02,-2.569585e-01,5.009176e-02
1.597500e+02,-2.387364e-01,5.920279e-02
1.593615e+02,-2.385407e-01,5.930064e-02
1.586250e+02,-2.380848e-01,5.952859e-02
1.578885e+02,-2.377488e-01,5.969662e-02
1.575000e+02,-2.376056e-01,5.976822e-02
6.975000e+01,2.721789e-01,3.146604e-01
6.936146e+01,2.824101e-01,3.197761e-01
6.862500e+01,2.973981e-01,3.272701e-01
6.788854e+01,3.148131e-01,3.359776e-01
6.750000e+01,3.207477e-01,3.389449e-01
1.710000e+02,-2.361535e-01,6.049425e-02
1.706115e+02,-2.400674e-01,5.853731e-02
1.698750e+02,-2.437469e-01,5.669755e-02
1.691385e+02,-2.454977e-01,5.582214e-02
-9.000000e+00,1.607775e+00,9.824585e-01
-9.388542e+00,1.609110e+00,9.831259e-01
-1.012500e+01,1.600899e+00,9.790204e-01
-1.086146e+01,1.592392e+00,9.747670e-01
1.571115e+02,-2.374950e-01,5.982350e-02
1.563750e+02,-2.373386e-01,5.990168e-02
1.556385e+02,-2.372212e-01,5.996042e-02
1.552500e+02,-2.371695e-01,5.998624e-02
-1.128885e+02,-2.563667e-01,5.038764e-02
-1.136250e+02,-2.538601e-01,5.164096e-02
-1.143615e+02,-2.513913e-01,5.287536e-02
-1.147500e+02,-2.479052e-01,5.461840e-02
-2.250000e+01,1.428066e+00,8.926041e-01
-2.288854e+01,1.418645e+00,8.878934e-01
-2.362500e+01,1.403077e+00,8.801094e-01
-2.436146e+01,1.389272e+00,8.732069e-01
-2.475000e+01,1.378805e+00,8.679736e-01
6.711146e+01,3.328364e-01,3.449892e-01
6.637500e+01,3.480812e-01,3.526116e-01
6.563854e+01,3.661388e-01,3.616404e-01
6.525000e+01,3.724175e-01,3.647797e-01
1.372500e+02,-2.352136e-01,6.096422e-02
1.368615e+02,-2.352036e-01,6.096920e-02
1.361250e+02,-2.351692e-01,6.098641e-02
1.353885e+02,-2.351264e-01,6.100782e-02
-4.275000e+01,9.513229e-01,6.542324e-01
-4.313854e+01,9.422281e-01,6.496850e-01
-4.387500e+01,9.221973e-01,6.396697e-01
-4.461146e+01,9.028811e-01,6.300116e-01
4.725000e+01,8.310390e-01,5.940905e-01
4.686146e+01,8.421693e-01,5.996556e-01
4.612500e+01,8.607911e-01,6.089665e-01
4.538854e+01,8.805965e-01,6.188692e-01
1.548615e+02,-2.371265e-01,6.000776e-02
1.541250e+02,-2.370669e-01,6.003756e-02
1.533885e+02,-2.370368e-01,6.005258e-02
1.530000e+02,-2.370308e-01,6.005561e-02
-1.151385e+02,-2.478513e-01,5.464535e-02
-1.158750e+02,-2.435549e-01,5.679357e-02
-1.166115e+02,-2.391158e-01,5.901311e-02
-2.513854e+01,1.374155e+00,8.656485e-01
-2.587500e+01,1.359766e+00,8.584540e-01
-2.661146e+01,1.344223e+00,8.506826e-01
-2.700000e+01,1.335624e+00,8.463831e-01
6.486146e+01,3.848068e-01,3.709744e-01
6.412500e+01,4.006697e-01,3.789059e-01
6.338854e+01,4.190444e-01,3.880932e-01
6.036146e+01,4.918914e-01,4.245167e-01
5.962500e+01,5.082004e-01,4.326712e-01
5.888854e+01,5.267831e-01,4.419625e-01
4.950000e+01,7.716953e-01,5.644187e-01
4.911146e+01,7.831230e-01,5.701325e-01
4.837500e+01,8.017592e-01,5.794506e-01
4.763854e+01,8.216297e-01,5.893859e-01
-4.050000e+01,1.010823e+00,6.839827e-01
-4.088854e+01,1.001847e+00,6.794946e-01
-4.162500e+01,9.821348e-01,6.696384e-01
-4.236146e+01,9.631159e-01,6.601290e-01
-3.825000e+01,1.069200e+00,7.131711e-01
-3.863854e+01,1.060394e+00,7.087682e-01
-3.937500e+01,1.041122e+00,6.991318e-01
-4.011146e+01,1.022359e+00,6.897504e-01
5.175000e+01,7.108435e-01,5.339928e-01
5.136146e+01,7.228583e-01,5.400001e-01
5.062500e+01,7.418326e-01,5.494873e-01
4.988854e+01,7.620840e-01,5.596130e-01
7.161146e+01,2.336185e-01,2.953802e-01
7.087500e+01,2.478202e-01,3.024811e-01
7.013854e+01,2.648354e-01,3.109887e-01
-9.225000e+01,-1.052915e-01,1.259253e-01
-9.263854e+01,-1.105703e-01,1.232859e-01
-9.337500e+01,-1.183276e-01,1.194072e-01
-9.411146e+01,-1.254168e-01,1.158626e-01
-1.260000e+02,-2.338564e-01,6.164279e-02
-1.263885e+02,-2.338332e-01,6.165441e-02
-1.271250e+02,-2.337959e-01,6.167305e-02
-1.278615e+02,-2.337627e-01,6.168965e-02
-1.282500e+02,-2.337448e-01,6.169859e-02
-3.638854e+01,1.117645e+00,7.373936e-01
-3.712500e+01,1.098811e+00,7.279767e-01
-3.786146e+01,1.080447e+00,7.187945e-01
5.361146e+01,6.630457e-01,5.100939e-01
5.287500e+01,6.822420e-01,5.196920e-01
5.213854e+01,7.022142e-01,5.296781e-01
-6.750000e+00,1.626383e+00,9.917623e-01
-7.138542e+00,1.631677e+00,9.944096e-01
-7.875000e+00,1.624688e+00,9.909149e-01
-8.611459e+00,1.617833e+00,9.874874e-01
1.661115e+02,-2.482785e-01,5.443173e-02
1.653750e+02,-2.483312e-01,5.440542e-02
1.646385e+02,-2.477074e-01,5.471732e-02
1.642500e+02,-2.480044e-01,5.456879e-02
-1.388854e+01,1.556713e+00,9.569275e-01
-1.462500e+01,1.546509e+00,9.518254e-01
-1.536146e+01,1.536604e+00,9.468731e-01
-1.616115e+02,-2.373811e-01,5.988046e-02
-1.608750e+02,-2.368873e-01,6.012734e-02
-1.601385e+02,-2.365497e-01,6.029615e-02
-7.161146e+01,2.313147e-01,2.942284e-01
-7.087500e+01,2.459092e-01,3.015256e-01
-7.013854e+01,2.635872e-01,3.103646e-01
1.800000e+01,1.503364e+00,9.302532e-01
1.838854e+01,1.499061e+00,9.281017e-01
1.912500e+01,1.486103e+00,9.216225e-01
1.986146e+01,1.474227e+00,9.156843e-01
9.488854e+01,-1.351864e-01,1.109778e-01
9.562500e+01,-1.467845e-01,1.051788e-01
9.636146e+01,-1.528283e-01,1.021569e-01
-1.237500e+02,-2.342391e-01,6.145146e-02
-1.233615e+02,-2.343606e-01,6.139071e-02
-1.226250e+02,-2.344397e-01,6.135117e-02
-1.218885e+02,-2.345987e-01,6.127166e-02
-2.211146e+01,1.434170e+00,8.956561e-01
-2.137500e+01,1.445703e+00,9.014224e-01
-2.063854e+01,1.457376e+00,9.072589e-01
-1.008615e+02,-1.948569e-01,8.114256e-02
-1.001250e+02,-1.894402e-01,8.385088e-02
-9.938854e+01,-1.827194e-01,8.721129e-02
7.913854e+01,8.760122e-02,2.223716e-01
7.987500e+01,7.297099e-02,2.150565e-01
8.061146e+01,6.198564e-02,2.095638e-01
1.777500e+02,-2.094846e-01,7.382869e-02
1.781385e+02,-2.062310e-01,7.545552e-02
1.788750e+02,-2.029473e-01,7.709733e-02
1.796115e+02,-2.049559e-01,7.609306e-02
-9.186146e+01,-9.989363e-02,1.286242e-01
-9.112500e+01,-9.200218e-02,1.325699e-01
-9.038854e+01,-8.386263e-02,1.366397e-01
1.713885e+02,-2.334498e-01,6.184612e-02
1.721250e+02,-2.304031e-01,6.336944e-02
1.728615e+02,-2.270934e-01,6.502432e-02
-1.057500e+02,-2.322914e-01,6.242530e-02
-1.053615e+02,-2.290960e-01,6.402302e-02
-1.046250e+02,-2.247750e-01,6.618351e-02
-1.038885e+02,-2.198618e-01,6.864011e-02
7.463854e+01,1.715347e-01,2.643384e-01
7.537500e+01,1.556335e-01,2.563878e-01
7.611146e+01,1.439528e-01,2.505474e-01
1.083885e+02,-2.485652e-01,5.428841e-02
1.091250e+02,-2.541189e-01,5.151153e-02
1.098615e+02,-2.557928e-01,5.067461e-02
1.102500e+02,-2.589573e-01,4.909237e-02
-1.241385e+02,-2.341577e-01,6.149216e-02
-1.248750e+02,-2.339958e-01,6.157309e-02
-1.256115e+02,-2.338986e-01,6.162168e-02
-8.736146e+01,-4.283604e-02,1.571530e-01
-8.662500e+01,-3.345510e-02,1.618434e-01
-8.588854e+01,-2.340451e-02,1.668687e-01
-8.550000e+01,-1.781610e-02,1.696630e-01
-5.400000e+01,6.543995e-01,5.057707e-01
-5.361146e+01,6.657291e-01,5.114356e-01
-5.287500e+01,6.843570e-01,5.207495e-01
-5.213854e+01,7.043831e-01,5.307626e-01
-5.175000e+01,7.136496e-01,5.353958e-01
0.000000e+00,1.679269e+00,1.018206e+00
3.885417e-01,1.679285e+00,1.018213e+00
1.125000e+00,1.676903e+00,1.017022e+00
1.861458e+00,1.678328e+00,1.017735e+00
1.263885e+02,-2.352649e-01,6.093853e-02
1.271250e+02,-2.351918e-01,6.097509e-02
1.278615e+02,-2.351233e-01,6.100934e-02
1.282500e+02,-2.350898e-01,6.102611e-02
1.462500e+02,-2.367116e-01,6.021522e-02
1.458615e+02,-2.365151e-01,6.031344e-02
1.451250e+02,-2.360560e-01,6.054299e-02
1.443885e+02,-2.355254e-01,6.080832e-02
1.440000e+02,-2.352439e-01,6.094907e-02
1.125000e+02,-2.538836e-01,5.162920e-02
1.121115e+02,-2.539468e-01,5.159761e-02
1.113750e+02,-2.563410e-01,5.040049e-02
1.106385e+02,-2.567022e-01,5.021989e-02
1.376385e+02,-2.352087e-01,6.096663e-02
1.383750e+02,-2.351547e-01,6.099365e-02
1.391115e+02,-2.350156e-01,6.106319e-02
1.395000e+02,-2.349098e-01,6.111608e-02
-3.885417e-01,1.678529e+00,1.017835e+00
-1.125000e+00,1.676413e+00,1.016777e+00
-1.861458e+00,1.674410e+00,1.015776e+00
-2.250000e+00,1.670220e+00,1.013681e+00
-1.305000e+02,-2.336425e-01,6.174976e-02
-1.308885e+02,-2.336354e-01,6.175328e-02
-1.316250e+02,-2.336268e-01,6.175759e-02
-1.323615e+02,-2.336325e-01,6.175473e-02
-1.327500e+02,-2.336436e-01,6.174922e-02
-8.363854e+01,1.086545e-02,1.840037e-01
-8.437500e+01,-2.434836e-04,1.784493e-01
-8.511146e+01,-1.045301e-02,1.733445e-01
1.128885e+02,-2.528133e-01,5.216434e-02
1.136250e+02,-2.521238e-01,5.250911e-02
1.143615e+02,-2.491762e-01,5.398289e-02
1.147500e+02,-2.482748e-01,5.443358e-02
2.738854e+01,1.328639e+00,8.428907e-01
2.812500e+01,1.312064e+00,8.346030e-01
2.886146e+01,1.296570e+00,8.268558e-01
2.925000e+01,1.286422e+00,8.217819e-01
-1.755000e+02,-2.216998e-01,6.772111e-02
-1.758885e+02,-2.129230e-01,7.210951e-02
-1.766250e+02,-2.093494e-01,7.389630e-02
-1.773615e+02,-2.092655e-01,7.393824e-02
-1.098615e+02,-2.552944e-01,5.092381e-02
-1.091250e+02,-2.524708e-01,5.233560e-02
-1.083885e+02,-2.494620e-01,5.383998e-02
-1.080000e+02,-2.473494e-01,5.489630e-02
-3.336146e+01,1.192440e+00,7.747912e-01
-3.262500e+01,1.209773e+00,7.834575e-01
-3.188854e+01,1.227260e+00,7.922012e-01
1.388854e+01,1.564966e+00,9.610540e-01
1.462500e+01,1.552140e+00,9.546410e-01
1.536146e+01,1.543263e+00,9.502026e-01
1.575000e+01,1.531160e+00,9.441511e-01
-1.391115e+02,-2.339243e-01,6.160886e-02
-1.383750e+02,-2.339465e-01,6.159773e-02
-1.376385e+02,-2.339231e-01,6.160947e-02
-1.372500e+02,-2.339007e-01,6.162063e-02
1.485000e+02,-2.371815e-01,5.998026e-02
1.488885e+02,-2.371809e-01,5.998055e-02
1.496250e+02,-2.371572e-01,5.999241e-02
1.503615e+02,-2.371175e-01,6.001225e-02
1.507500e+02,-2.370962e-01,6.002288e-02
-1.751115e+02,-2.170295e-01,7.005627e-02
-1.743750e+02,-2.223374e-01,6.740230e-02
-1.736385e+02,-2.269219e-01,6.511004e-02
-1.732500e+02,-2.330743e-01,6.203386e-02
3.600000e+01,1.124309e+00,7.407253e-01
3.561146e+01,1.135490e+00,7.463158e-01
3.487500e+01,1.154145e+00,7.556435e-01
3.413854e+01,1.172448e+00,7.647949e-01
3.375000e+01,1.177546e+00,7.673442e-01
-1.526115e+02,-2.357831e-01,6.067943e-02
-1.518750e+02,-2.358313e-01,6.065537e-02
-1.511385e+02,-2.358884e-01,6.062681e-02
-1.507500e+02,-2.359175e-01,6.061227e-02
3.638854e+01,1.114604e+00,7.358729e-01
3.712500e+01,1.095000e+00,7.260712e-01
3.786146e+01,1.074727e+00,7.159345e-01
-1.485000e+02,-2.357724e-01,6.068479e-02
-1.481115e+02,-2.356457e-01,6.074816e-02
-1.473750e+02,-2.353049e-01,6.091856e-02
-1.466385e+02,-2.348507e-01,6.114564e-02
-1.462500e+02,-2.345794e-01,6.128130e-02
-5.811146e+01,5.483952e-01,4.527686e-01
-5.737500e+01,5.661857e-01,4.616639e-01
-5.663854e+01,5.863611e-01,4.717515e-01
-5.625000e+01,5.961095e-01,4.766257e-01
1.301115e+02,-2.349744e-01,6.108378e-02
1.293750e+02,-2.350079e-01,6.106704e-02
1.286385e+02,-2.350587e-01,6.104163e-02
8.588854e+01,-2.127370e-02,1.679341e-01
8.662500e+01,-3.399074e-02,1.615756e-01
8.736146e+01,-4.198104e-02,1.575805e-01
8.775000e+01,-4.967892e-02,1.537315e-01
-5.136146e+01,7.255934e-01,5.413677e-01
-5.062500e+01,7.439950e-01,5.505685e-01
