Angle,Cp,p
-3.600000e+01,1.121855e+00,7.394986e-01
1.687500e+02,-2.357157e-01,6.071313e-02
1.683615e+02,-2.361095e-01,6.051625e-02
1.676250e+02,-2.369879e-01,6.007705e-02
1.668885e+02,-2.378664e-01,5.963778e-02
1.665000e+02,-2.382974e-01,5.942232e-02
-1.125000e+01,1.590218e+00,9.736801e-01
-1.163854e+01,1.586395e+00,9.717683e-01
-1.237500e+01,1.578147e+00,9.676446e-01
-1.311146e+01,1.570761e+00,9.639517e-01
-1.350000e+01,1.566046e+00,9.615940e-01
-1.102500e+02,-2.576800e-01,4.973102e-02
-1.106385e+02,-2.588206e-01,4.916072e-02
-1.113750e+02,-2.606031e-01,4.826943e-02
-1.121115e+02,-2.614935e-01,4.782424e-02
-1.125000e+02,-2.615429e-01,4.779956e-02
1.597500e+02,-2.409539e-01,5.809407e-02
1.593615e+02,-2.408002e-01,5.817090e-02
1.586250e+02,-2.406032e-01,5.826940e-02
1.578885e+02,-2.404215e-01,5.836025e-02
1.575000e+02,-2.403313e-01,5.840535e-02
6.975000e+01,2.612133e-01,3.091776e-01
6.936146e+01,2.696444e-01,3.133932e-01
6.862500e+01,2.872246e-01,3.221833e-01
6.788854e+01,3.033022e-01,3.302221e-01
6.750000e+01,3.112451e-01,3.341936e-01
1.710000e+02,-2.325315e-01,6.230526e-02
1.706115e+02,-2.330613e-01,6.204036e-02
1.698750e+02,-2.340889e-01,6.152654e-02
1.691385e+02,-2.351420e-01,6.100002e-02
-9.000000e+00,1.611353e+00,9.842473e-01
-9.388542e+00,1.607851e+00,9.824964e-01
-1.012500e+01,1.600667e+00,9.789043e-01
-1.086146e+01,1.594437e+00,9.757894e-01
1.571115e+02,-2.402397e-01,5.845116e-02
1.563750e+02,-2.400802e-01,5.853089e-02
1.556385e+02,-2.399600e-01,5.859102e-02
1.552500e+02,-2.399089e-01,5.861657e-02
-1.128885e+02,-2.613928e-01,4.787461e-02
-1.136250e+02,-2.605432e-01,4.829942e-02
-1.143615e+02,-2.592030e-01,4.896948e-02
-1.147500e+02,-2.584270e-01,4.935749e-02
-2.250000e+01,1.428025e+00,8.925835e-01
-2.288854e+01,1.421464e+00,8.893032e-01
-2.362500e+01,1.405341e+00,8.812414e-01
-2.436146e+01,1.393109e+00,8.751256e-01
-2.475000e+01,1.385061e+00,8.711015e-01
6.711146e+01,3.201794e-01,3.386607e-01
6.637500e+01,3.382545e-01,3.476983e-01
6.563854e+01,3.554168e-01,3.562794e-01
6.525000e+01,3.643410e-01,3.607415e-01
1.372500e+02,-2.374138e-01,5.986412e-02
1.368615e+02,-2.374300e-01,5.985602e-02
1.361250e+02,-2.374770e-01,5.983252e-02
1.353885e+02,-2.375287e-01,5.980666e-02
-4.275000e+01,9.450619e-01,6.511019e-01
-4.313854e+01,9.345027e-01,6.458223e-01
-4.387500e+01,9.145069e-01,6.358244e-01
-4.461146e+01,8.928997e-01,6.250209e-01
4.725000e+01,8.254591e-01,5.913005e-01
4.686146e+01,8.358426e-01,5.964923e-01
4.612500e+01,8.552214e-01,6.061817e-01
4.538854e+01,8.743041e-01,6.157231e-01
1.548615e+02,-2.398634e-01,5.863932e-02
1.541250e+02,-2.397886e-01,5.867669e-02
1.533885e+02,-2.397274e-01,5.870732e-02
1.530000e+02,-2.397014e-01,5.872029e-02
-1.151385e+02,-2.575939e-01,4.977404e-02
-1.158750e+02,-2.556667e-01,5.073764e-02
-1.166115e+02,-2.531025e-01,5.201977e-02
-2.513854e+01,1.373460e+00,8.653011e-01
-2.587500e+01,1.355423e+00,8.562825e-01
-2.661146e+01,1.336681e+00,8.469114e-01
-2.700000e+01,1.327945e+00,8.425434e-01
6.486146e+01,3.735254e-01,3.653337e-01
6.412500e+01,3.912417e-01,3.741919e-01
6.338854e+01,4.084168e-01,3.827794e-01
6.036146e+01,4.823257e-01,4.197339e-01
5.962500e+01,5.008279e-01,4.289850e-01
5.888854e+01,5.192138e-01,4.381779e-01
4.950000e+01,7.662114e-01,5.616767e-01
4.911146e+01,7.770694e-01,5.671057e-01
4.837500e+01,7.961826e-01,5.766623e-01
4.763854e+01,8.157084e-01,5.864252e-01
-4.050000e+01,1.005535e+00,6.813384e-01
-4.088854e+01,9.955384e-01,6.763402e-01
-4.162500e+01,9.757902e-01,6.664661e-01
-4.236146e+01,9.558708e-01,6.565064e-01
-3.825000e+01,1.064530e+00,7.108361e-01
-3.863854e+01,1.054667e+00,7.059043e-01
-3.937500e+01,1.035480e+00,6.963109e-01
-4.011146e+01,1.015822e+00,6.864821e-01
5.175000e+01,7.052705e-01,5.312063e-01
5.136146e+01,7.158701e-01,5.365061e-01
5.062500e+01,7.358243e-01,5.464832e-01
4.988854e+01,7.561307e-01,5.566363e-01
7.161146e+01,2.232753e-01,2.902086e-01
7.087500e+01,2.395801e-01,2.983611e-01
7.013854e+01,2.542833e-01,3.057127e-01
-9.225000e+01,-1.127172e-01,1.222124e-01
-9.263854e+01,-1.171478e-01,1.199971e-01
-9.337500e+01,-1.254682e-01,1.158369e-01
-9.411146e+01,-1.337433e-01,1.116994e-01
-1.260000e+02,-2.403873e-01,5.837734e-02
-1.263885e+02,-2.402803e-01,5.843086e-02
-1.271250e+02,-2.401246e-01,5.850872e-02
-1.278615e+02,-2.400289e-01,5.855656e-02
-1.282500e+02,-2.399946e-01,5.857372e-02
-3.638854e+01,1.112297e+00,7.347195e-01
-3.712500e+01,1.093662e+00,7.254018e-01
-3.786146e+01,1.074508e+00,7.158248e-01
5.361146e+01,6.509646e-01,5.040533e-01
5.287500e+01,6.734141e-01,5.152780e-01
5.213854e+01,6.940036e-01,5.255728e-01
-6.750000e+00,1.629623e+00,9.933824e-01
-7.138542e+00,1.626246e+00,9.916938e-01
-7.875000e+00,1.619791e+00,9.884663e-01
-8.611459e+00,1.614826e+00,9.859840e-01
1.661115e+02,-2.387259e-01,5.920805e-02
1.653750e+02,-2.393904e-01,5.887580e-02
1.646385e+02,-2.399114e-01,5.861531e-02
1.642500e+02,-2.401381e-01,5.850196e-02
-1.388854e+01,1.561317e+00,9.592296e-01
-1.462500e+01,1.551694e+00,9.544181e-01
-1.536146e+01,1.542914e+00,9.500279e-01
-1.616115e+02,-2.428390e-01,5.715148e-02
-1.608750e+02,-2.427174e-01,5.721229e-02
-1.601385e+02,-2.426119e-01,5.726505e-02
-7.161146e+01,2.201211e-01,2.886316e-01
-7.087500e+01,2.397464e-01,2.984442e-01
-7.013854e+01,2.588536e-01,3.079978e-01
1.800000e+01,1.504497e+00,9.308196e-01
1.838854e+01,1.499516e+00,9.283292e-01
1.912500e+01,1.487286e+00,9.222139e-01
1.986146e+01,1.475070e+00,9.161059e-01
9.488854e+01,-1.429329e-01,1.071046e-01
9.562500e+01,-1.524439e-01,1.023490e-01
9.636146e+01,-1.606814e-01,9.823030e-02
-1.237500e+02,-2.412476e-01,5.794719e-02
-1.233615e+02,-2.414266e-01,5.785768e-02
-1.226250e+02,-2.418776e-01,5.763219e-02
-1.218885e+02,-2.425354e-01,5.730331e-02
-2.211146e+01,1.436089e+00,8.966155e-01
-2.137500e+01,1.448516e+00,9.028292e-01
-2.063854e+01,1.461811e+00,9.094765e-01
-1.008615e+02,-1.900481e-01,8.354697e-02
-1.001250e+02,-1.834551e-01,8.684347e-02
-9.938854e+01,-1.801553e-01,8.849335e-02
7.913854e+01,7.595378e-02,2.165479e-01
